Filename,Description,Category,SubCategory,Library,Duration,Manufacturer,BitDepth,SampleRate,Channels,Designer,Keywords,URL,Source,Notes
Card_Game_Abilities_Wind_Upgrade_02.mp3,Card Game is a sound effects library inspired by fantasy online card and mobile app games!,Game,Cartoon,Card Game,00:01.254,Epic Stock Media,320kbps,44100,2,George Hufnagl,"Alert, Notification, Success, Achievement, Level, Up, Game, Fantasy, Mobile, App, Unlock, Fun, Goal, Score, Point, Hit, Confirm, Bonus, Bright, Cartoon, Tone, Item, Key, Treasure, Collect",https://epicstockmedia.com,"George Hufnagl, Collin Scudder, Jeremy Zussman",All files are Copyright Epic Stock Media - All Rights Reserved © 2018 Epic Stock Media
Card_Game_Abilities_Wind_Upgrade_03.mp3,Card Game is a sound effects library inspired by fantasy online card and mobile app games!,Game,Cartoon,Card Game,00:01.381,Epic Stock Media,320kbps,44100,2,George Hufnagl,"Alert, Notification, Success, Achievement, Level, Up, Game, Fantasy, Mobile, App, Unlock, Fun, Goal, Score, Point, Hit, Confirm, Bonus, Bright, Cartoon, Tone, Item, Key, Treasure, Collect",https://epicstockmedia.com,"George Hufnagl, Collin Scudder, Jeremy Zussman",All files are Copyright Epic Stock Media - All Rights Reserved © 2018 Epic Stock Media
Card_Game_Achievement_Chime_Light_01.mp3,Card Game is a sound effects library inspired by fantasy online card and mobile app games!,Game,Cartoon,Card Game,00:03.623,Epic Stock Media,320kbps,44100,2,George Hufnagl,"Alert, Notification, Success, Achievement, Level, Up, Game, Fantasy, Mobile, App, Unlock, Fun, Goal, Score, Point, Hit, Confirm, Bonus, Bright, Cartoon, Tone, Item, Key, Treasure, Collect",https://epicstockmedia.com,"George Hufnagl, Collin Scudder, Jeremy Zussman",All files are Copyright Epic Stock Media - All Rights Reserved © 2018 Epic Stock Media
Card_Game_Achievement_Chime_Light_02.mp3,Card Game is a sound effects library inspired by fantasy online card and mobile app games!,Game,Cartoon,Card Game,00:01.500,Epic Stock Media,320kbps,44100,2,George Hufnagl,"Alert, Notification, Success, Achievement, Level, Up, Game, Fantasy, Mobile, App, Unlock, Fun, Goal, Score, Point, Hit, Confirm, Bonus, Bright, Cartoon, Tone, Item, Key, Treasure, Collect",https://epicstockmedia.com,"George Hufnagl, Collin Scudder, Jeremy Zussman",All files are Copyright Epic Stock Media - All Rights Reserved © 2018 Epic Stock Media
Card_Game_Achievement_Chime_Light_03.mp3,Card Game is a sound effects library inspired by fantasy online card and mobile app games!,Game,Cartoon,Card Game,00:01.897,Epic Stock Media,320kbps,44100,2,George Hufnagl,"Alert, Notification, Success, Achievement, Level, Up, Game, Fantasy, Mobile, App, Unlock, Fun, Goal, Score, Point, Hit, Confirm, Bonus, Bright, Cartoon, Tone, Item, Key, Treasure, Collect",https://epicstockmedia.com,"George Hufnagl, Collin Scudder, Jeremy Zussman",All files are Copyright Epic Stock Media - All Rights Reserved © 2018 Epic Stock Media
Card_Game_Achievement_Crackle_01.mp3,Card Game is a sound effects library inspired by fantasy online card and mobile app games!,Game,Cartoon,Card Game,00:01.810,Epic Stock Media,320kbps,44100,2,George Hufnagl,"Alert, Notification, Success, Achievement, Level, Up, Game, Fantasy, Mobile, App, Unlock, Fun, Goal, Score, Point, Hit, Confirm, Bonus, Bright, Cartoon, Tone, Item, Key, Treasure, Collect",https://epicstockmedia.com,"George Hufnagl, Collin Scudder, Jeremy Zussman",All files are Copyright Epic Stock Media - All Rights Reserved © 2018 Epic Stock Media
Card_Game_Achievement_Glimmer_01.mp3,Card Game is a sound effects library inspired by fantasy online card and mobile app games!,Game,Cartoon,Card Game,00:01.747,Epic Stock Media,320kbps,44100,2,George Hufnagl,"Alert, Notification, Success, Achievement, Level, Up, Game, Fantasy, Mobile, App, Unlock, Fun, Goal, Score, Point, Hit, Confirm, Bonus, Bright, Cartoon, Tone, Item, Key, Treasure, Collect",https://epicstockmedia.com,"George Hufnagl, Collin Scudder, Jeremy Zussman",All files are Copyright Epic Stock Media - All Rights Reserved © 2018 Epic Stock Media
Card_Game_Achievement_Grand_01.mp3,Card Game is a sound effects library inspired by fantasy online card and mobile app games!,Game,Cartoon,Card Game,00:04.654,Epic Stock Media,320kbps,44100,2,George Hufnagl,"Alert, Notification, Success, Achievement, Level, Up, Game, Fantasy, Mobile, App, Unlock, Fun, Goal, Score, Point, Hit, Confirm, Bonus, Bright, Cartoon, Tone, Item, Key, Treasure, Collect",https://epicstockmedia.com,"George Hufnagl, Collin Scudder, Jeremy Zussman",All files are Copyright Epic Stock Media - All Rights Reserved © 2018 Epic Stock Media
Card_Game_Achievement_Grand_02.mp3,Card Game is a sound effects library inspired by fantasy online card and mobile app games!,Game,Cartoon,Card Game,00:04.520,Epic Stock Media,320kbps,44100,2,George Hufnagl,"Alert, Notification, Success, Achievement, Level, Up, Game, Fantasy, Mobile, App, Unlock, Fun, Goal, Score, Point, Hit, Confirm, Bonus, Bright, Cartoon, Tone, Item, Key, Treasure, Collect",https://epicstockmedia.com,"George Hufnagl, Collin Scudder, Jeremy Zussman",All files are Copyright Epic Stock Media - All Rights Reserved © 2018 Epic Stock Media
Card_Game_Achievement_Grand_03.mp3,Card Game is a sound effects library inspired by fantasy online card and mobile app games!,Game,Cartoon,Card Game,00:03.753,Epic Stock Media,320kbps,44100,2,George Hufnagl,"Alert, Notification, Success, Achievement, Level, Up, Game, Fantasy, Mobile, App, Unlock, Fun, Goal, Score, Point, Hit, Confirm, Bonus, Bright, Cartoon, Tone, Item, Key, Treasure, Collect",https://epicstockmedia.com,"George Hufnagl, Collin Scudder, Jeremy Zussman",All files are Copyright Epic Stock Media - All Rights Reserved © 2018 Epic Stock Media
Card_Game_Achievement_Grand_04.mp3,Card Game is a sound effects library inspired by fantasy online card and mobile app games!,Game,Cartoon,Card Game,00:03.796,Epic Stock Media,320kbps,44100,2,George Hufnagl,"Alert, Notification, Success, Achievement, Level, Up, Game, Fantasy, Mobile, App, Unlock, Fun, Goal, Score, Point, Hit, Confirm, Bonus, Bright, Cartoon, Tone, Item, Key, Treasure, Collect",https://epicstockmedia.com,"George Hufnagl, Collin Scudder, Jeremy Zussman",All files are Copyright Epic Stock Media - All Rights Reserved © 2018 Epic Stock Media
Card_Game_Achievement_Poof_01.mp3,Card Game is a sound effects library inspired by fantasy online card and mobile app games!,Game,Cartoon,Card Game,00:01.335,Epic Stock Media,320kbps,44100,2,George Hufnagl,"Alert, Notification, Success, Achievement, Level, Up, Game, Fantasy, Mobile, App, Unlock, Fun, Goal, Score, Point, Hit, Confirm, Bonus, Bright, Cartoon, Tone, Item, Key, Treasure, Collect",https://epicstockmedia.com,"George Hufnagl, Collin Scudder, Jeremy Zussman",All files are Copyright Epic Stock Media - All Rights Reserved © 2018 Epic Stock Media
Card_Game_Achievement_Poof_02.mp3,Card Game is a sound effects library inspired by fantasy online card and mobile app games!,Game,Cartoon,Card Game,00:01.751,Epic Stock Media,320kbps,44100,2,George Hufnagl,"Alert, Notification, Success, Achievement, Level, Up, Game, Fantasy, Mobile, App, Unlock, Fun, Goal, Score, Point, Hit, Confirm, Bonus, Bright, Cartoon, Tone, Item, Key, Treasure, Collect",https://epicstockmedia.com,"George Hufnagl, Collin Scudder, Jeremy Zussman",All files are Copyright Epic Stock Media - All Rights Reserved © 2018 Epic Stock Media
Card_Game_Achievement_Poof_03.mp3,Card Game is a sound effects library inspired by fantasy online card and mobile app games!,Game,Cartoon,Card Game,00:01.368,Epic Stock Media,320kbps,44100,2,George Hufnagl,"Alert, Notification, Success, Achievement, Level, Up, Game, Fantasy, Mobile, App, Unlock, Fun, Goal, Score, Point, Hit, Confirm, Bonus, Bright, Cartoon, Tone, Item, Key, Treasure, Collect",https://epicstockmedia.com,"George Hufnagl, Collin Scudder, Jeremy Zussman",All files are Copyright Epic Stock Media - All Rights Reserved © 2018 Epic Stock Media
Card_Game_Achievement_Poof_Chime_01.mp3,Card Game is a sound effects library inspired by fantasy online card and mobile app games!,Game,Cartoon,Card Game,00:03.505,Epic Stock Media,320kbps,44100,2,George Hufnagl,"Alert, Notification, Success, Achievement, Level, Up, Game, Fantasy, Mobile, App, Unlock, Fun, Goal, Score, Point, Hit, Confirm, Bonus, Bright, Cartoon, Tone, Item, Key, Treasure, Collect",https://epicstockmedia.com,"George Hufnagl, Collin Scudder, Jeremy Zussman",All files are Copyright Epic Stock Media - All Rights Reserved © 2018 Epic Stock Media
Card_Game_Achievement_Shimmer_Long_01.mp3,Card Game is a sound effects library inspired by fantasy online card and mobile app games!,Game,Cartoon,Card Game,00:06.411,Epic Stock Media,320kbps,44100,2,George Hufnagl,"Alert, Notification, Success, Achievement, Level, Up, Game, Fantasy, Mobile, App, Unlock, Fun, Goal, Score, Point, Hit, Confirm, Bonus, Bright, Cartoon, Tone, Item, Key, Treasure, Collect",https://epicstockmedia.com,"George Hufnagl, Collin Scudder, Jeremy Zussman",All files are Copyright Epic Stock Media - All Rights Reserved © 2018 Epic Stock Media
Card_Game_Achievement_Shimmer_Long_02.mp3,Card Game is a sound effects library inspired by fantasy online card and mobile app games!,Game,Cartoon,Card Game,00:03.793,Epic Stock Media,320kbps,44100,2,George Hufnagl,"Alert, Notification, Success, Achievement, Level, Up, Game, Fantasy, Mobile, App, Unlock, Fun, Goal, Score, Point, Hit, Confirm, Bonus, Bright, Cartoon, Tone, Item, Key, Treasure, Collect",https://epicstockmedia.com,"George Hufnagl, Collin Scudder, Jeremy Zussman",All files are Copyright Epic Stock Media - All Rights Reserved © 2018 Epic Stock Media
Card_Game_Achievement_Shimmer_Long_03.mp3,Card Game is a sound effects library inspired by fantasy online card and mobile app games!,Game,Cartoon,Card Game,00:03.980,Epic Stock Media,320kbps,44100,2,George Hufnagl,"Alert, Notification, Success, Achievement, Level, Up, Game, Fantasy, Mobile, App, Unlock, Fun, Goal, Score, Point, Hit, Confirm, Bonus, Bright, Cartoon, Tone, Item, Key, Treasure, Collect",https://epicstockmedia.com,"George Hufnagl, Collin Scudder, Jeremy Zussman",All files are Copyright Epic Stock Media - All Rights Reserved © 2018 Epic Stock Media
